id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_24_app","App → SectionDivider","App → SectionDivider","cross_community",4,"['comm_42','comm_44']","Function:frontend/src/app/App.tsx:App","Function:frontend/src/app/components/Dashboard.tsx:SectionDivider"
"proc_25_app","App → ApplyDays","App → ApplyDays","cross_community",4,"['comm_42','comm_44']","Function:frontend/src/app/App.tsx:App","Function:frontend/src/app/components/Dashboard.tsx:applyDays"
"proc_26_app","App → HandleReset","App → HandleReset","intra_community",4,"['comm_42']","Function:frontend/src/app/App.tsx:App","Function:frontend/src/app/components/StationMap.tsx:handleReset"
"proc_27_app","App → FetchRegionDetail","App → FetchRegionDetail","cross_community",4,"['comm_42','comm_35']","Function:frontend/src/app/App.tsx:App","Function:frontend/src/app/components/StationStats.tsx:fetchRegionDetail"
"proc_28_dashboard","Dashboard → BubbleColor","Dashboard → BubbleColor","cross_community",4,"['comm_44','comm_54']","Function:frontend/src/app/components/Dashboard.tsx:Dashboard","Function:frontend/src/app/components/MongoliaProvinceMap.tsx:bubbleColor"
"proc_29_dashboard","Dashboard → BubbleSize","Dashboard → BubbleSize","cross_community",4,"['comm_44','comm_54']","Function:frontend/src/app/components/Dashboard.tsx:Dashboard","Function:frontend/src/app/components/MongoliaProvinceMap.tsx:bubbleSize"
"proc_30_getbyid","GetById → PermitVO","GetById → PermitVO","intra_community",4,"['comm_5']","Method:backend/src/main/java/com/freqmanage/module/permit/controller/PermitController.java:PermitController.getById#1","Class:backend/src/main/java/com/freqmanage/module/permit/vo/PermitVO.java:PermitVO"
"proc_31_getdetail","GetDetail → PermitVO","GetDetail → PermitVO","cross_community",4,"['comm_6','comm_5']","Method:backend/src/main/java/com/freqmanage/module/permit/controller/PermitController.java:PermitController.getDetail#1","Class:backend/src/main/java/com/freqmanage/module/permit/vo/PermitVO.java:PermitVO"
"proc_32_getdetail","GetDetail → FrequencyVO","GetDetail → FrequencyVO","cross_community",4,"['comm_6','comm_8']","Method:backend/src/main/java/com/freqmanage/module/permit/controller/PermitController.java:PermitController.getDetail#1","Class:backend/src/main/java/com/freqmanage/module/permit/vo/FrequencyVO.java:FrequencyVO"
"proc_33_getfrequencies","GetFrequencies → FrequencyVO","GetFrequencies → FrequencyVO","intra_community",4,"['comm_8']","Method:backend/src/main/java/com/freqmanage/module/permit/controller/PermitController.java:PermitController.getFrequencies#1","Class:backend/src/main/java/com/freqmanage/module/permit/vo/FrequencyVO.java:FrequencyVO"
"proc_34_getstationpermits","GetStationPermits → StationPermitVO","GetStationPermits → StationPermitVO","cross_community",4,"['comm_9','comm_6']","Method:backend/src/main/java/com/freqmanage/module/permit/controller/PermitController.java:PermitController.getStationPermits#1","Class:backend/src/main/java/com/freqmanage/module/permit/vo/StationPermitVO.java:StationPermitVO"
"proc_35_getbyid","GetById → PlanningVO","GetById → PlanningVO","intra_community",4,"['comm_11']","Method:backend/src/main/java/com/freqmanage/module/planning/controller/PlanningController.java:PlanningController.getById#1","Class:backend/src/main/java/com/freqmanage/module/planning/vo/PlanningVO.java:PlanningVO"
"proc_36_getbyid","GetById → StationVO","GetById → StationVO","intra_community",4,"['comm_13']","Method:backend/src/main/java/com/freqmanage/module/station/controller/StationController.java:StationController.getById#1","Class:backend/src/main/java/com/freqmanage/module/station/vo/StationVO.java:StationVO"
"proc_37_getmappoints","GetMapPoints → StationMapVO","GetMapPoints → StationMapVO","intra_community",4,"['comm_15']","Method:backend/src/main/java/com/freqmanage/module/station/controller/StationController.java:StationController.getMapPoints#0","Class:backend/src/main/java/com/freqmanage/module/station/vo/StationMapVO.java:StationMapVO"
"proc_38_getmappoints","GetMapPoints → ComputeStatus","GetMapPoints → ComputeStatus","intra_community",4,"['comm_15']","Method:backend/src/main/java/com/freqmanage/module/station/controller/StationController.java:StationController.getMapPoints#0","Method:backend/src/main/java/com/freqmanage/module/station/service/StationService.java:StationService.computeStatus#1"
"proc_39_getbyid","GetById → OrganizationVO","GetById → OrganizationVO","intra_community",4,"['comm_24']","Method:backend/src/main/java/com/freqmanage/module/system/controller/OrganizationController.java:OrganizationController.getById#1","Class:backend/src/main/java/com/freqmanage/module/system/vo/OrganizationVO.java:OrganizationVO"
"proc_40_getbyid","GetById → RoleVO","GetById → RoleVO","intra_community",4,"['comm_26']","Method:backend/src/main/java/com/freqmanage/module/system/controller/RoleController.java:RoleController.getById#1","Class:backend/src/main/java/com/freqmanage/module/system/vo/RoleVO.java:RoleVO"
"proc_41_getbyid","GetById → GetPermissionsByRoleId","GetById → GetPermissionsByRoleId","cross_community",4,"['comm_26','comm_28']","Method:backend/src/main/java/com/freqmanage/module/system/controller/RoleController.java:RoleController.getById#1","Method:backend/src/main/java/com/freqmanage/module/system/service/RoleService.java:RoleService.getPermissionsByRoleId#1"
"proc_42_getbyid","GetById → UserVO","GetById → UserVO","intra_community",4,"['comm_29']","Method:backend/src/main/java/com/freqmanage/module/system/controller/UserController.java:UserController.getById#1","Class:backend/src/main/java/com/freqmanage/module/system/vo/UserVO.java:UserVO"
"proc_43_getbyusername","GetByUsername → UserVO","GetByUsername → UserVO","intra_community",4,"['comm_29']","Method:backend/src/main/java/com/freqmanage/module/system/controller/UserController.java:UserController.getByUsername#1","Class:backend/src/main/java/com/freqmanage/module/system/vo/UserVO.java:UserVO"
"proc_44_frequencyplanning","FrequencyPlanning → TrimFreqNumber","FrequencyPlanning → TrimFreqNumber","cross_community",4,"['comm_50','comm_49']","Function:frontend/src/app/components/FrequencyPlanning.tsx:FrequencyPlanning","Function:frontend/src/app/components/FrequencyPlanning.tsx:trimFreqNumber"
"proc_45_blocks","Blocks → TrimFreqNumber","Blocks → TrimFreqNumber","intra_community",4,"['comm_49']","Function:frontend/src/app/components/FrequencyPlanning.tsx:blocks","Function:frontend/src/app/components/FrequencyPlanning.tsx:trimFreqNumber"
"proc_46_stationrecords","StationRecords → TrimFreqNumber","StationRecords → TrimFreqNumber","cross_community",4,"['comm_50','comm_49']","Function:frontend/src/app/components/FrequencyPlanning.tsx:stationRecords","Function:frontend/src/app/components/FrequencyPlanning.tsx:trimFreqNumber"
"proc_47_me","Me → GetPermissionsByRoleId","Me → GetPermissionsByRoleId","cross_community",3,"['comm_4','comm_28']","Method:backend/src/main/java/com/freqmanage/module/auth/AuthController.java:AuthController.me#1","Method:backend/src/main/java/com/freqmanage/module/system/service/RoleService.java:RoleService.getPermissionsByRoleId#1"
"proc_48_datamanagement","DataManagement → FetchStationData","DataManagement → FetchStationData","cross_community",3,"['comm_43','comm_48']","Function:frontend/src/app/components/DataManagement.tsx:DataManagement","Function:frontend/src/app/components/DataManagement.tsx:fetchStationData"
